Bo_Trong_So,Capacity_Desire_Gap_Norm,JobSecurity_Concern_Norm,Enjoyment_Attachment_Norm,HumanAgency_Resistance_Norm
ban_dau,0.4,0.2,0.2,0.2
bang_nhau,0.25,0.25,0.25,0.25
pca,0.030399170434002983,0.2457178738295674,0.5733138917495697,0.15056906398685999
